XYZ (16012 points)
416129.182 5073287.780 76.426
417141.801 5077318.510 72.862
416378.434 5081248.880 74.387
416461.628 5086152.210 74.680
412327.030 5086868.130 84.130
409749.682 5089963.690 87.552
411666.148 5093947.340 83.058
409315.763 5097387.710 85.262
407825.011 5101513.790 85.917
405957.901 5105723.950 89.441
405833.619 5110154.590 84.640
403935.302 5113472.020 85.657
403110.719 5116404.480 87.631
404591.473 5118425.080 74.164
403511.973 5120861.120 74.418
405244.536 5122829.290 62.473
404668.975 5125628.670 63.383
402044.911 5127495.240 76.834
400783.352 5130765.620 80.064
400514.903 5134227.930 74.687
402228.078 5137471.210 64.985
401796.152 5140631.070 65.060
398999.196 5141952.780 74.972
398847.182 5145570.270 73.627
398838.456 5149115.860 73.258
398866.814 5152708.350 71.963
398867.378 5156285.290 71.685
399084.885 5159687.900 70.771
400288.541 5162467.370 66.956
398743.468 5164707.150 70.313
399706.260 5167082.200 67.121
398654.576 5169638.510 68.737
398183.334 5173255.330 68.733
397045.336 5176954.380 68.330
396330.631 5180740.310 66.887
396026.214 5184610.180 65.608
395991.330 5188694.260 62.334
394673.735 5192260.850 63.130
395517.399 5195497.010 58.052
397008.619 5198838.120 51.996
395476.290 5202337.560 52.283
394179.520 5206850.120 52.727
394394.243 5212269.920 49.943
394850.776 5217601.130 50.021
395915.170 5223275.920 43.277
397639.519 5229487.290 35.556
393921.520 5233702.160 40.697
399750.876 5236211.250 24.980
402389.358 5243128.620 5.157
399217.670 5250318.470 6.242
398609.388 5258278.020 4.695
397764.686 5266217.560 5.095
396379.031 5274079.840 5.904
394785.246 5281903.780 5.604
392060.686 5289375.360 6.457
387742.552 5296086.180 12.514
382698.320 5302274.200 8.693
377386.477 5308208.740 3.863
375131.375 5315824.280 9.618
374191.083 5323746.960 13.622
372944.696 5331609.730 7.820
372304.608 5339441.850 15.919
374916.141 5346981.020 5.270
369652.409 5350957.220 38.316
366818.393 5355801.720 59.220
361585.492 5359012.370 226.725
356174.427 5364212.450 241.266
